date,Temperature,Humidity,Light,CO2,Occupancy
2015-02-02 14:19:00,24,26,585,749,1
2015-02-02 14:19:59,24,26,578,760,1
2015-02-02 14:21:00,24,26,573,770,1
2015-02-02 14:22:00,24,26,494,775,1
2015-02-02 14:23:00,24,26,489,779,1
2015-02-02 14:23:59,24,26,569,790,1
2015-02-02 14:25:00,24,26,536,798,1
2015-02-02 14:25:59,24,26,509,797,1
2015-02-02 14:26:59,24,26,476,803,1
2015-02-02 14:28:00,24,26,510,809,1
2015-02-02 14:29:00,24,26,482,815,1
2015-02-02 14:30:00,24,27,482,824,1
2015-02-02 14:31:00,24,27,475,832,1
2015-02-02 14:31:59,24,27,469,845,1
2015-02-02 14:32:59,24,27,464,852,1
2015-02-02 14:34:00,24,27,464,861,1
2015-02-02 14:35:00,24,27,455,880,1
2015-02-02 14:36:00,24,27,454,891,1
2015-02-02 14:37:00,24,27,458,898,1
2015-02-02 14:38:00,24,27,464,901,1
2015-02-02 14:38:59,24,27,473,909,1
2015-02-02 14:39:59,24,27,464,918,1
2015-02-02 14:41:00,24,27,498,925,1
2015-02-02 14:42:00,24,27,530,929,1
2015-02-02 14:43:00,24,27,534,936,1
2015-02-02 14:44:00,24,27,524,950,1
2015-02-02 14:44:59,24,27,499,961,1
2015-02-02 14:45:59,24,27,516,963,1
2015-02-02 14:47:00,24,27,501,959,1
2015-02-02 14:48:00,24,28,522,965,1
2015-02-02 14:49:00,24,28,521,979,1
2015-02-02 14:50:00,24,28,505,978,1
2015-02-02 14:51:00,24,28,488,983,1
2015-02-02 14:51:59,24,28,512,993,1
2015-02-02 14:53:00,24,28,511,997,1
2015-02-02 14:54:00,24,28,502,1000,1
2015-02-02 14:55:00,24,28,504,1001,1
2015-02-02 14:55:59,24,28,483,1010,1
2015-02-02 14:57:00,24,28,484,1019,1
2015-02-02 14:57:59,24,28,473,1021,1
2015-02-02 14:58:59,24,28,470,1025,1
2015-02-02 15:00:00,24,28,480,1030,1
2015-02-02 15:01:00,24,28,464,1026,1
2015-02-02 15:02:00,24,28,474,1028,1
2015-02-02 15:03:00,24,28,470,1035,1
2015-02-02 15:04:00,24,28,454,1056,1
2015-02-02 15:04:59,24,28,454,1055,1
2015-02-02 15:06:00,24,28,454,1050,1
2015-02-02 15:07:00,24,28,454,1051,1
2015-02-02 15:08:00,24,28,445,1054,1
2015-02-02 15:08:59,24,28,439,1056,1
2015-02-02 15:10:00,24,28,444,1055,1
2015-02-02 15:10:59,23,28,455,1060,1
2015-02-02 15:11:59,23,28,456,1060,1
2015-02-02 15:13:00,23,28,452,1074,1
2015-02-02 15:14:00,23,28,452,1079,1
2015-02-02 15:15:00,23,28,455,1081,1
2015-02-02 15:16:00,23,28,455,1082,1
2015-02-02 15:16:59,23,28,458,1089,1
2015-02-02 15:17:59,23,28,464,1091,1
2015-02-02 15:19:00,23,28,464,1086,1
2015-02-02 15:20:00,23,28,464,1093,1
2015-02-02 15:21:00,23,29,472,1104,1
2015-02-02 15:22:00,23,29,476,1105,1
2015-02-02 15:23:00,23,29,472,1104,1
2015-02-02 15:23:59,23,29,468,1112,1
2015-02-02 15:24:59,23,29,467,1106,1
2015-02-02 15:26:00,23,29,464,1104,1
2015-02-02 15:27:00,23,29,467,1117,1
2015-02-02 15:28:00,23,29,468,1121,1
2015-02-02 15:29:00,23,29,467,1116,1
2015-02-02 15:29:59,23,29,459,1120,1
2015-02-02 15:30:59,23,29,464,1124,1
2015-02-02 15:32:00,23,29,470,1116,1
2015-02-02 15:33:00,23,29,464,1127,1
2015-02-02 15:34:00,23,28,464,1113,1
2015-02-02 15:35:00,23,29,449,1105,1
2015-02-02 15:36:00,23,29,464,1108,1
2015-02-02 15:36:59,23,29,462,1128,1
2015-02-02 15:38:00,23,29,469,1129,1
2015-02-02 15:39:00,23,29,469,1124,1
2015-02-02 15:40:00,23,29,469,1130,1
2015-02-02 15:40:59,23,29,464,1138,1
2015-02-02 15:42:00,23,29,457,1144,1
2015-02-02 15:42:59,23,29,457,1140,1
2015-02-02 15:43:59,23,29,450,1139,1
2015-02-02 15:45:00,23,29,446,1167,1
2015-02-02 15:46:00,23,29,452,1160,1
2015-02-02 15:47:00,23,29,455,1158,1
2015-02-02 15:48:00,23,29,448,1160,1
2015-02-02 15:49:00,23,29,444,1156,1
2015-02-02 15:49:59,23,29,444,1160,1
2015-02-02 15:51:00,23,29,444,1170,1
2015-02-02 15:52:00,23,29,444,1176,1
2015-02-02 15:53:00,23,29,444,1175,1
2015-02-02 15:53:59,23,29,444,1167,1
2015-02-02 15:55:00,23,28,444,1140,1
2015-02-02 15:55:59,23,28,444,1089,1
2015-02-02 15:56:59,23,28,435,1043,1
2015-02-02 15:58:00,23,28,432,1051,1
2015-02-02 15:59:00,23,28,429,1060,1
2015-02-02 16:00:00,23,28,429,1065,1
2015-02-02 16:01:00,23,28,429,1062,1
2015-02-02 16:01:59,23,28,429,1058,1
2015-02-02 16:02:59,23,28,429,1062,1
2015-02-02 16:04:00,23,28,429,1070,1
2015-02-02 16:05:00,23,28,429,1074,1
2015-02-02 16:06:00,23,28,429,1086,1
2015-02-02 16:07:00,23,28,429,1090,1
2015-02-02 16:08:00,23,28,429,1085,1
2015-02-02 16:08:59,23,28,429,1085,1
2015-02-02 16:09:59,23,28,429,1088,1
2015-02-02 16:11:00,23,28,429,1092,1
2015-02-02 16:12:00,23,28,429,1091,1
2015-02-02 16:13:00,23,28,429,1088,1
2015-02-02 16:14:00,23,28,429,1088,1
2015-02-02 16:14:59,23,28,432,1079,1
2015-02-02 16:15:59,23,28,433,1077,1
2015-02-02 16:17:00,23,28,439,1064,1
2015-02-02 16:18:00,23,28,429,1056,1
2015-02-02 16:19:00,23,28,433,1044,1
2015-02-02 16:20:00,23,27,433,1040,1
2015-02-02 16:21:00,23,27,437,1029,1
2015-02-02 16:21:59,23,27,438,1020,1
2015-02-02 16:23:00,23,27,444,1018,1
2015-02-02 16:24:00,23,27,435,1015,1
2015-02-02 16:25:00,23,27,434,1006,1
2015-02-02 16:25:59,23,27,432,1003,1
2015-02-02 16:27:00,23,27,438,993,1
2015-02-02 16:27:59,23,27,439,983,1
2015-02-02 16:28:59,23,27,432,976,1
2015-02-02 16:30:00,23,27,433,981,1
2015-02-02 16:31:00,23,27,434,971,1
2015-02-02 16:32:00,23,27,444,967,1
2015-02-02 16:33:00,23,26,444,963,1
2015-02-02 16:34:00,23,26,442,952,1
2015-02-02 16:34:59,23,26,444,948,1
2015-02-02 16:36:00,23,26,444,945,1
2015-02-02 16:37:00,23,26,441,942,1
2015-02-02 16:38:00,23,26,438,930,1
2015-02-02 16:38:59,23,26,441,924,1
2015-02-02 16:40:00,23,26,440,919,1
2015-02-02 16:40:59,23,26,439,918,1
2015-02-02 16:41:59,23,26,438,919,1
2015-02-02 16:43:00,23,26,439,927,1
2015-02-02 16:44:00,23,26,433,920,1
2015-02-02 16:45:00,23,26,432,902,1
2015-02-02 16:46:00,23,26,429,904,1
2015-02-02 16:46:59,23,26,429,897,1
2015-02-02 16:47:59,23,26,429,892,1
2015-02-02 16:49:00,23,26,434,883,1
2015-02-02 16:50:00,23,25,436,887,1
2015-02-02 16:51:00,23,26,443,889,1
2015-02-02 16:52:00,23,25,443,889,1
2015-02-02 16:53:00,23,25,438,881,1
2015-02-02 16:53:59,23,25,443,869,1
2015-02-02 16:54:59,23,25,440,861,1
2015-02-02 16:56:00,23,25,440,861,1
2015-02-02 16:57:00,23,25,436,864,1
2015-02-02 16:58:00,23,25,431,859,1
2015-02-02 16:59:00,23,25,441,854,1
2015-02-02 16:59:59,23,25,428,847,1
2015-02-02 17:00:59,23,25,432,837,1
2015-02-02 17:02:00,23,25,432,835,1
2015-02-02 17:03:00,23,25,429,832,1
2015-02-02 17:04:00,23,25,433,832,1
2015-02-02 17:05:00,23,25,433,836,1
2015-02-02 17:06:00,23,25,428,833,1
2015-02-02 17:06:59,23,25,428,822,1
2015-02-02 17:08:00,23,25,425,832,1
2015-02-02 17:09:00,23,25,429,832,1
2015-02-02 17:10:00,23,25,433,831,1
2015-02-02 17:10:59,23,25,433,822,1
2015-02-02 17:12:00,23,25,433,818,1
2015-02-02 17:12:59,23,25,433,820,1
2015-02-02 17:13:59,23,25,433,823,1
2015-02-02 17:15:00,23,25,433,818,1
2015-02-02 17:16:00,23,25,433,813,1
2015-02-02 17:17:00,23,25,433,817,1
2015-02-02 17:18:00,23,25,433,822,1
2015-02-02 17:19:00,23,25,433,825,1
2015-02-02 17:19:59,23,25,433,817,1
2015-02-02 17:21:00,23,25,433,812,1
